,s0,s1,s2
0,126.0,119.99999999999991,126.0
1,126.0,128.39999999999992,126.0
2,128.0,136.79999999999998,126.0
3,146.0,145.79999999999995,126.66666666666667
4,158.0,163.79999999999995,131.5
5,171.0,183.79999999999995,136.8
6,216.0,203.79999999999995,145.8
7,228.0,224.19999999999993,163.8
8,246.0,243.99999999999994,183.8
9,260.0,257.3999999999999,203.8
10,270.0,269.79999999999995,224.2
11,283.0,279.99999999999994,244.0
12,290.0,287.5999999999999,257.4
13,297.0,291.79999999999995,269.8
14,298.0,291.99999999999994,280.0
15,291.0,288.99999999999994,287.6
16,284.0,283.4,291.8
17,275.0,276.59999999999997,292.0
18,269.0,271.0,289.0
19,264.0,267.19999999999993,283.4
20,263.0,264.79999999999995,276.6
21,265.0,263.19999999999993,271.0
22,263.0,261.99999999999994,267.2
23,261.0,260.19999999999993,264.8
24,258.0,257.4,263.2
25,254.0,255.19999999999996,262.0
26,251.0,253.79999999999995,260.2
27,252.0,253.59999999999994,257.4
28,254.0,254.99999999999997,255.2
29,257.0,256.4,253.8
30,261.0,256.4,253.6
31,258.0,255.59999999999997,255.0
32,252.0,254.79999999999995,256.4
33,250.0,254.99999999999994,256.4
34,253.0,258.4,255.6
35,262.0,264.99999999999994,254.8
36,275.0,271.5999999999999,255.0
37,285.0,278.3999999999999,258.4
38,283.0,283.19999999999993,265.0
39,287.0,285.19999999999993,271.6
40,286.0,285.5999999999999,278.4
41,285.0,285.99999999999994,283.2
42,287.0,285.19999999999993,285.2
43,285.0,284.79999999999995,285.6
44,283.0,284.3999999999999,286.0
45,284.0,284.19999999999993,285.2
46,283.0,284.5999999999999,284.8
47,286.0,286.19999999999993,284.4
48,287.0,287.4,284.2
49,291.0,288.19999999999993,284.6
50,290.0,288.59999999999997,286.2
51,287.0,290.19999999999993,287.4
52,288.0,293.19999999999993,288.2
53,295.0,297.5999999999999,288.6
54,306.0,301.5999999999999,290.2
55,312.0,304.79999999999995,293.2
56,307.0,306.3999999999999,297.6
57,304.0,304.4,301.6
58,303.0,299.5999999999999,304.8
59,296.0,294.3999999999999,306.4
60,288.0,288.59999999999997,304.4
61,281.0,280.99999999999994,299.6
62,275.0,270.3999999999999,294.4
63,265.0,259.59999999999997,288.6
64,243.0,250.19999999999996,281.0
65,234.0,242.39999999999995,270.4
66,234.0,236.39999999999998,259.6
67,236.0,233.59999999999997,250.2
68,235.0,231.99999999999994,242.4
69,229.0,229.79999999999995,236.4
70,226.0,225.79999999999995,233.6
71,223.0,221.59999999999997,232.0
72,216.0,219.19999999999996,229.8
73,214.0,218.19999999999993,225.8
74,217.0,218.39999999999998,221.6
75,221.0,227.59999999999997,219.2
76,224.0,240.19999999999993,218.2
77,262.0,252.39999999999998,218.4
78,277.0,264.5999999999999,227.6
79,278.0,276.99999999999994,240.2
80,282.0,281.99999999999994,252.4
81,286.0,283.3999999999999,264.6
82,287.0,283.4,277.0
83,284.0,280.79999999999995,282.0
84,278.0,273.3999999999999,283.4
85,269.0,262.99999999999994,283.4
86,249.0,249.99999999999997,280.8
87,235.0,234.59999999999997,273.4
88,219.0,217.19999999999993,263.0
89,201.0,202.59999999999997,250.0
90,182.0,188.99999999999997,234.6
91,176.0,176.79999999999995,217.2
92,167.0,166.39999999999998,202.6
93,158.0,157.99999999999997,189.0
94,149.0,149.39999999999998,176.8
95,140.0,141.19999999999996,166.4
96,133.0,133.59999999999997,158.0
97,126.0,125.99999999999997,149.4
98,120.0,119.99999999999997,141.2
99,111.0,114.79999999999998,133.6
100,110.0,110.79999999999998,126.0
101,107.0,107.99999999999997,120.0
102,106.0,107.59999999999997,114.8
103,106.0,107.6,110.8
104,109.0,107.79999999999998,108.0
